score,label
0.6630044089962149,g
0.6420427261023651,g
0.7924163473194099,g
0.7966053032017585,g
0.8070804983190858,g
0.882393254064969,g
0.7628989540143543,g
0.5424772319228702,g
0.7123292545149074,g
0.6791184550526075,g
0.672138636947425,g
0.44953788980217774,g
0.7829827182264131,g
0.6381483644107047,g
0.651956026774726,g
0.6892188954540887,g
0.7134115983081408,g
0.6199639247147892,g
0.7057137224559631,g
0.7142285277026308,g
0.8087331566075769,g
0.6866511279065821,g
0.8199900485289704,g
0.806067383253069,g
0.70308775855051,g
0.7670859905164478,g
0.7561326144964534,g
0.6663716629077162,g
0.7561728228323881,g
0.8583911582831796,g
0.6082409760047883,g
0.7959226159361349,g
0.736015471695912,g
0.7643346427158341,g
0.7097116537932932,g
0.49737766767006,g
0.5548648251512378,g
0.6538931608240871,g
0.9126975805276232,g
0.6687676592215885,g
0.7428916041807951,g
0.8721243208991357,g
0.7875043826412259,g
0.6062137405713739,g
0.7282889688912448,g
0.5705327415779593,g
0.5142226796097737,g
0.6680120119642209,g
0.5849134606279495,g
0.6324352913311341,g
0.8460634162530523,g
0.7518306877193703,g
0.8819909455158548,g
0.5412080988802763,g
0.7560219326697738,g
0.680796328954608,g
0.6042721878021922,g
0.9457230211546792,g
0.6886859474084053,g
0.74863849283225,g
0.7060070329846623,g
0.7739200810525864,g
0.6732180715956763,g
0.7400262975434329,g
0.6329979718742255,g
0.6451674126529013,g
0.8305019565088739,g
0.9487408161424785,g
0.7086350365887837,g
0.534142863821094,g
0.8949542133145332,g
0.6884023285643137,g
0.8341556163835478,g
0.7465276222889631,g
0.7133332370820678,g
0.711539553848524,g
0.6669606504488532,g
0.6721678290173481,g
0.6714504376450786,g
0.7463552241403256,g
0.5674162567099039,g
0.6096256654241776,g
0.7191208112099311,g
0.7237299496748452,g
0.4474881578856483,g
0.6168260818375945,g
0.6622424993596985,g
0.7283310263885531,g
0.7771817537653043,g
0.601606239977873,g
0.737352362842276,g
0.6067058510004354,g
0.7731990481977261,g
0.6689274357162123,g
0.7549125825344962,g
0.7226288563342327,g
0.6663610958501824,g
1.0024684354454225,g
0.571082623921292,g
0.5994985965953613,g
0.5314289221141872,g
0.9105427901078373,g
0.8452942852896775,g
0.6965169691695454,g
0.7780131390618635,g
0.7691428268643454,g
0.5938398296207681,g
0.7979023071126626,g
0.7386066761519572,g
0.5999401607088598,g
0.7740819790866821,g
0.6448320263024595,g
0.7279140780879169,g
0.6075913307676906,g
0.6037409204685682,g
0.718375904222468,g
0.5856505386875309,g
0.5917279787251422,g
0.6253266837033502,g
0.8124139892011335,g
0.6291466759880316,g
0.7295572162168769,g
0.487871899716699,g
0.6001565238981623,g
0.7288401429409832,g
0.7087792240151723,g
0.8469608894234955,g
0.6078702758339598,g
0.6423983480617771,g
0.8294807190995204,g
0.707200120239012,g
0.582681183768074,g
0.8275322740174054,g
0.8655241259476527,g
0.8749491581882488,g
0.6616503257280929,g
0.7937582439222586,g
0.6432342588365196,g
0.6753720421646557,g
0.8474602196694233,g
0.6548424512599333,g
0.7288528495009715,g
0.8267971510859274,g
0.8197011971779021,g
0.7502384871668397,g
0.7570362190089129,g
0.7571597428308311,g
0.8521453084995033,g
0.7520645057091156,g
0.7239693816724017,g
0.7159963639656654,g
0.5591745959746254,g
0.49692897930349,g
0.8918479818263787,g
0.6179520551240312,g
0.632671909356138,g
0.7018929987450473,g
0.6340215291572848,g
0.6734372058786111,g
0.7170330987562072,g
0.8495297654961022,g
0.5955158229128075,g
0.7659680108275551,g
0.8518584621704155,g
0.632923758331419,g
0.7960840532995451,g
0.8900183007829838,g
0.7340323842236032,g
0.7687808007299913,g
0.7726352061351133,g
0.6810234177958093,g
0.8198826385926735,g
0.7038332617792822,g
0.6738546101009827,g
0.657929387529483,g
0.6388519605644296,g
0.630658978981132,g
0.7791672627172774,g
0.5323894656938702,g
0.7819269302144622,g
0.8410402211284097,g
0.5341124466188535,g
0.6126614138250327,g
